city,invrank,rank
Abidjan,86,1
Ahmedabad,85,2
Alexandria,84,3
Atlanta,83,4
Baghdad,82,5
Bangalore,81,6
Bangkok,80,7
Barcelona,79,8
Beijing,78,9
Berlin,77,10
"Bogotá",76,11
Bruxelles,75,12
Cairo,74,13
Chengdu,73,14
Chennai,72,15
Chicago,71,16
Chongqing,70,17
Dalian,69,18
Dallas,68,19
Delhi,67,20
Dhaka,66,21
Dongguan,65,22
Dublin,64,23
Foshan,63,24
Fukuoka,62,25
Guadalajara,61,26
Guangzhou,60,27
Hangzhou,59,28
Harbin,58,29
Houston,57,30
Hyderabad,56,31
Istambul,55,32
Istanbul,54,33
Jakarta,53,34
Jinan,52,35
Johannesburg,51,36
Karachi,50,37
Kathmandu,49,38
Khartoum,48,39
Kinshasa,47,40
Kolkata,46,41
Kyoto,45,42
Lagos,44,43
Lahore,43,44
Lima,42,45
London,41,46
Londra,40,47
Londres,39,48
Lonn,38,49
Luanda,37,50
Madrid,36,51
Manila,35,52
Miami,34,53
Milan,33,54
Moscow,32,55
Mumbai,31,56
Nagoya,30,57
Nanjing,29,58
"New-York",28,59
Osaka,27,60
Parais,26,61
Parigi,25,62
Paris,24,63
Philadelphia,23,64
Pune,22,65
Qingdao,21,66
Rio,20,67
Riyadh,19,68
Roma,18,69
"San-Francisco",17,70
Santiago,16,71
Seoul,15,72
Shanghai,14,73
Shenyang,13,74
Shenzhen,12,75
Singapore,11,76
Surat,10,77
Suzhou,9,78
Tehran,8,79
Tianjin,7,80
Tokyo,6,81
Toronto,5,82
Venise,4,83
Washington,3,84
Wuhan,2,85
Yangon,1,86
